Source,Kategori,Nama Produk,Extracted,text_cleaned,text_stopwords_removed,clean_text,token_awal,token_akhir,reduksi,persen_%
Generate,Pajak,Pembayaran Denda Samsat,Pembayaran Denda Samsat,pembayaran denda samsat,pembayaran denda samsat,bayar denda samsat,3.0,3.0,0.0,0.0
Generate,Pajak,Bayar Ganti Plat Motor,Bayar Ganti Plat Motor,bayar ganti plat motor,ganti plat motor,ganti plat motor,4.0,3.0,1.0,25.0
Generate,Pajak,Bayar Ganti Plat Mobil,Bayar Ganti Plat Mobil,bayar ganti plat mobil,ganti plat,ganti plat,4.0,2.0,2.0,50.0
Generate,Pajak,Pembayaran TNKB Baru,Pembayaran TNKB Baru,pembayaran tnkb baru,pembayaran tnkb,bayar tnkb,3.0,2.0,1.0,33.3
Generate,Pajak,Tagihan TNKB 5 Tahunan,Tagihan TNKB 5 Tahunan,tagihan tnkb tahunan,tagihan tnkb tahunan,tagih tnkb tahun,4.0,3.0,1.0,25.0
Generate,Pajak,Bayar Cek Fisik Kendaraan,Bayar Cek Fisik Kendaraan,bayar cek fisik kendaraan,cek kendaraan,cek kendara,4.0,2.0,2.0,50.0
Generate,Pajak,Bayar Mutasi Kendaraan,Bayar Mutasi Kendaraan,bayar mutasi kendaraan,mutasi kendaraan,mutasi kendara,3.0,2.0,1.0,33.3
Generate,Pajak,Biaya Mutasi Motor,Biaya Mutasi Motor,biaya mutasi motor,biaya mutasi motor,biaya mutasi motor,3.0,3.0,0.0,0.0
Generate,Pajak,Biaya Mutasi Mobil,Biaya Mutasi Mobil,biaya mutasi mobil,biaya mutasi,biaya mutasi,3.0,2.0,1.0,33.3
Generate,Pajak,Bayar Balik Nama Avanza,Bayar Balik Nama Avanza,bayar balik nama avanza,nama avanza,nama avanza,4.0,2.0,2.0,50.0
Generate,Pajak,Bayar Balik Nama Beat,Bayar Balik Nama Beat,bayar balik nama beat,nama beat,nama beat,4.0,2.0,2.0,50.0
Generate,Pajak,Bayar Balik Nama Nmax,Bayar Balik Nama Nmax,bayar balik nama nmax,nama nmax,nama nmax,4.0,2.0,2.0,50.0
Generate,Pajak,Bayar BBNKB Motor,Bayar BBNKB Motor,bayar bbnkb motor,bbnkb motor,bbnkb motor,3.0,2.0,1.0,33.3
