Source,Nama Produk,Extracted,text_cleaned,text_stopwords_removed,clean_text,token_awal,token_akhir,reduksi,persen_%
Shopee,"Blood Corn Pads / Pembalut dari Jagung | Bebas gatal & ultra thin - 25cm, 29cm, 33cm, 41cm",blood corn pads,blood corn pads pembalut dari jagung bebas gatal ultra thin cm cm cm cm,blood corn pads pembalut jagung thin,blood corn pads balut jagung thin,18.0,6.0,12.0,66.7
Shopee,"Onemed TestPack | Tes kandungan | Test Kehamilan Onemed HCG Urine - Mudah Digunakan, Tepat untuk Deteksi Dini, Hasil Cepat, Akurat",onemed testpack,onemed testpack tes kandungan test kehamilan onemed hcg urine mudah digunakan tepat untuk deteksi dini hasil cepat akurat,onemed testpack tes test kehamilan onemed hcg urine mudah deteksi hasil,onemed testpack tes test hamil onemed hcg urine mudah deteksi hasil,21.0,11.0,10.0,47.6
Shopee,Hers Protex Comfort Night Pembalut Wanita bag 12 x2,hers protex comfort night,hers protex comfort night pembalut wanita bag x,hers protex comfort night pembalut bag,hers protex comfort night balut bag,9.0,6.0,3.0,33.3
Shopee,Softex Comfort Night 29cm 18 pads - Pembalut Malam - Spesial Bulan Ungu,softex comfort night,softex comfort night cm pads pembalut malam spesial bulan ungu,softex comfort night pads pembalut malam,softex comfort night pads balut malam,13.0,6.0,7.0,53.8
Shopee,Andalan Strip Uji Kehamilan,andalan uji kehamilan,andalan strip uji kehamilan,andalan strip uji kehamilan,andal strip uji hamil,4.0,4.0,0.0,0.0
Shopee,Softex Comfort Night 29cm 9 pads - Spesial Bulan Ungu,softex comfort night,softex comfort night cm pads spesial bulan ungu,softex comfort night pads,softex comfort night pads,10.0,4.0,6.0,60.0
Shopee,[ 3 PACK ] Charm Pembalut Safe Night 29cm Wing 9 Pads - Dapat 27 Pads [ BUNDLE ],charm pembalut,pack charm pembalut safe night cm wing pads dapat pads bundle,charm pembalut safe night wing pads pads bundle,charm balut safe night wing pads pads bundle,19.0,8.0,11.0,57.9
Shopee,Hers Protex Softcare Pembalut Wanita Wing Bag Isi 20 Pcs x2,hers protex pembalut,hers protex softcare pembalut wanita wing bag isi pcs x,hers protex softcare pembalut wing bag,hers protex softcare balut wing bag,11.0,6.0,5.0,45.5
Shopee,Cod Testpack Kehamilan Onemed Sensitif Test Pack Hamil Tespek Kehamilan Bisa Grab Promo Cod 10 Pcs,onemed tespek kehamilan,cod testpack kehamilan onemed sensitif test pack hamil tespek kehamilan bisa grab promo cod pcs,testpack kehamilan onemed test hamil tespek kehamilan grab,testpack hamil onemed test hamil tespek hamil grab,16.0,8.0,8.0,50.0
Shopee,Menspad / pembalut cuci ulang / pembalut kain/pcs azza,menspad azza,menspad pembalut cuci ulang pembalut kainpcs azza,menspad pembalut ulang pembalut kainpcs azza,menspad balut ulang balut kainpcs azza,9.0,6.0,3.0,33.3
